kor_name,eng_name,team,release,end_dt
더스틴 니퍼트,dustin nippert,두산,0,2010-12-31
크리스 세든,chris seddon,sk,0,2011-12-31
다나 이브랜드,dana james eveland,한화,0,2011-12-31
헨리 소사,henry sosa,기아,0,2011-12-31
아담 윌크,adam robert wilk,NC,0,2011-12-31
하이로 어센시오,jairo asencio,기아,0,2012-12-31
조조 레이예스,jo,sk,0,2012-12-31
개릿 올슨,garrett olson,시즌 중 방출,1,2012-12-31
에릭 해커,eric lynn hacker,NC,0,2012-12-31
릭 밴덴헐크,rick vandenhurk,삼성,0,2012-12-31
태드 웨버,thad g. weber,NC,0,2012-12-31
로스 울프,ross wolf,sk,0,2013-12-31
루카스 하렐,lucas harrell,엘지,0,2013-12-31
알프레도 피가로,alfredo figaro,삼성,0,2013-12-31
앤드류 앨버스,andrew albers,한화,0,2013-12-31
미치 탈보트,mitch talbot,한화,0,2013-12-31
라이언 피어밴드,ryan robert feierabend,넥센,0,2013-12-31
조쉬 린드블럼,josh lindblom,롯데,0,2013-12-31
크리스 볼스테드,chris volstad,시즌 중 방출,1,2013-12-31
필립 험버,philip humber,시즌 중 방출,1,2013-12-31
저스틴 토마스,justin thomas,기아,0,2013-12-31
유네스키 마야,yunesky maya,시즌 중 방출,1,2013-12-31
에버렛 티포드,everett james teaford,엘지,0,2013-12-31
필 어윈,phil irwin,시즌 중 방출,1,2013-12-31
로버트 코엘로,robert coello,시즌 중 방출,1,2014-12-31
에반 믹,evan meek,기아,0,2014-12-31
앤서니 스와잭,anthony ray swarzak,두산,0,2014-12-31
요한 피노,yohan pino,시즌 중 방출,1,2014-12-31
마이클 보우덴,michael matthew bowden,두산,0,2014-12-31
조쉬 스틴슨,josh stinson,기아,0,2014-12-31
슈가 레이 마리몬,sugar ray marimon,시즌 중 방출,1,2014-12-31
타일러 클로이드,tyler cloyd,삼성,0,2014-12-31
브룩스 레일리,brooks raley,롯데,0,2014-12-31
데이비드 허프,david gregory huff,엘지,0,2015-12-31
헥터 노에시,hector noesi,기아,0,2015-12-31
요한 플란데,yohan flande,삼성,0,2015-12-31
션 오설리반,sean daniel o'sullivan,시즌 중 방출,1,2015-12-31
에릭 서캠프,eric m. surkamp,한화,0,2015-12-31
아놀드 레온,arnold leon,삼성,0,2015-12-31
앤서니 레나도,anthony ranaudo,삼성,0,2015-12-31
팻 딘,pat dean,기아,0,2015-12-31
스캇 다이아몬드,scott michael diamond,sk,0,2015-12-31
지크 스프루일,zeke spruill,기아,0,2015-12-31
앨런 웹스터,carl allen webster,시즌 중 방출,1,2015-12-31
스캇 코프랜드,scott reast copeland,엘지,0,2015-12-31
제프 맨쉽,jeff manship,NC,0,2016-12-31
카를로스 비야누에바,carlos villanueva,한화,0,2016-12-31
펠릭스 듀브론트,felix antonio doubront,시즌 중 방출,1,2016-12-31
알렉시 오간도,alexi ogando,한화,0,2016-12-31
에스밀 로저스,esmil antonio rogers,넥센,0,2016-12-31
제이크 브리검,jake brigham,키움,0,2016-12-31
팀 아델만,tim adleman,삼성,0,2016-12-31
세스 후랭코프,james seth frankoff,두산,0,2016-12-31
키버스 샘슨,keyvius sampson,한화,0,2016-12-31
제이슨 휠러,jason wheeler,시즌 중 방출,1,2016-12-31
앙헬 산체스,angel luis sanchez,sk,0,2016-12-31
로건 베렛,scott logan verrett,NC,0,2017-12-31
리살베르토 보니야,lisalverto bonilla,삼성,0,2017-12-31
데이비드 헤일,david e. hale,한화,0,2017-12-31
타일러 윌슨,tyler wilson,엘지,0,2017-12-31
채드 벨,chad bell,한화,0,2018-12-31
에릭 요키시,eric spenser jokisch,넥센,0,2018-12-31
케이시 켈리,casey patrick kelly,엘지,0,2018-12-31
조 윌랜드,joe wieland,기아,0,2018-12-31
제이콥 터너,jacob edward turner,기아,0,2018-12-31
윌리엄 쿠에바스,william cuevas,kt,0,2018-12-31
에디 버틀러,eddie butler,시즌 중 방출,1,2018-12-31
덱 맥과이어,william deck mcguire,시즌 중 방출,1,2018-12-31
라울 알칸타라,raul alcantara,두산,0,2018-12-31
저스틴 헤일리,justin haley,시즌 중 방출,1,2018-12-31
워윅 서폴드,warwick saupold,한화,0,2018-12-31
드류 루친스키,drew rucinski,NC,0,2018-12-31
제이크 톰슨,jake thompson,시즌 중 방출,1,2018-12-31
크리스 플렉센,chris flexen,두산,0,2019-12-31
닉 킹엄,nick kingham,sk,1,2019-12-31
리카르도 핀토,ricardo antonio pinto,sk,0,2019-12-31
마이크 라이트,mike wright,nc,0,2019-12-31
오드리사머 데스파이네,odrisamer despaigne,kt,0,2019-12-31
애런 브룩스,aaron lee brooks,기아,0,2019-12-31
드류 가뇽,drew gagnon,기아,0,2019-12-31
데이비드 뷰캐넌,david buchanan,삼성,0,2019-12-31
댄 스트레일리,dan straily,롯데,0,2019-12-31
아드리안 샘슨,adrian david sampson,롯데,0,2019-12-31
웨스 파슨스,wes parsons,nc,0,2020-12-31
아리엘 미란다,ariel miranda,두산,0,2020-12-31
워커 로켓,walker lockett,두산,0,2020-12-31
케이시 켈리,casey patrick kelly,lg,0,2020-12-31
조쉬 스미스,josh smith,키움,1,2020-12-31
다니엘 멩덴,daniel mengden,kia,0,2020-12-31
앤더슨 프랑코,enderson franco,롯데,0,2020-12-31
아티 르위키,artie lewicki,ssg,0,2020-12-31
월머 폰트,wilmer font,ssg,0,2020-12-31
라이언 카펜터,ryan carpenter,한화,0,2020-12-31
웨스 벤자민,wes benjamin,kt,0,2021-12-31
브랜든 와델,brandon waddell,두산,0,2021-12-31
로버트 스탁,robert anthony stock,두산,0,2021-12-31
알버트 수아레즈,albert joe suarez,삼성,0,2021-12-31
애덤 플럿코,adam plutko,LG,0,2021-12-31
타일러 애플러,tyler eppler,키움,0,2021-12-31
이반 노바,ivan manuel nova,SSG,1,2021-12-31
숀 모리만도,shawn morimando,SSG,0,2021-12-31
맷 더모디,matt dermody,Nc,0,2021-12-31
글렌 스파크맨,glenn sparkman,롯데,0,2021-12-31
찰리 반즈,charlie barnes,롯데,0,2021-12-31
션 놀린,sean nolin,기아,0,2021-12-31
로니 윌리엄스,ronnie ellis williams,기아,1,2021-12-31
펠릭스 페냐,felix ricardo pena,한화,0,2021-12-31
예프리 라미레즈,yefry ramirez,한화,0,2021-12-31
